Chinese,Pinyin,English,Category,Tier,Latin,Alt_script
麻黄,Má Huáng,"ephedra - Induces sweating, releases the exterior",jiebiao,1,Ephedrae Herba,麻黃
桂枝,Guì Zhī,"cinnamon twig - Releases the muscle layer, harmonises ying and wei",jiebiao,1,Cinnamomi Ramulus,
紫苏叶,Zǐ Sū Yè,"perilla leaf - Releases the exterior, scatters cold",jiebiao,1,Perillae Folium,紫蘇葉
荆芥,Jīng Jiè,"schizonepeta - Releases the exterior, dispels wind",jiebiao,1,Schizonepetae Herba,荊芥
防风,Fáng Fēng,"siler - Releases the exterior, expels wind",jiebiao,1,Saposhnikoviae Radix,防風
羌活,Qiāng Huó,"notopterygium - Releases the exterior, scatters cold-damp",jiebiao,1,Notopterygii Rhizoma et Radix,
白芷,Bái Zhǐ,"dahurian angelica - Dispels wind, relieves pain",jiebiao,1,Angelicae Dahuricae Radix,
生姜,Shēng Jiāng,"fresh ginger - Releases the exterior, scatters cold",jiebiao,1,Zingiberis Rhizoma Recens,生薑
薄荷,Bò Hé,"field mint - Disperses wind-heat, clears head and eyes",jiebiao,1,Menthae Haplocalycis Herba,
桑叶,Sāng Yè,mulberry leaf - Disperses wind-heat,jiebiao,1,Mori Folium,桑葉
菊花,Jú Huā,chrysanthemum flower - Disperses wind-heat,jiebiao,1,Chrysanthemi Flos,
葛根,Gé Gēn,"kudzu root - Releases the muscle layer, discharges heat",jiebiao,1,Puerariae Lobatae Radix,
柴胡,Chái Hú,"bupleurum - Harmonises shaoyang, discharges heat",jiebiao,1,Bupleuri Radix,
石膏,Shí Gāo,"gypsum - Clears heat, drains fire",qingre,1,Gypsum Fibrosum,
知母,Zhī Mǔ,"anemarrhena - Clears heat, drains fire",qingre,1,Anemarrhenae Rhizoma,
栀子,Zhī Zǐ,"gardenia fruit - Drains fire, eliminates vexation",qingre,1,Gardeniae Fructus,梔子
黄芩,Huáng Qín,"baical skullcap - Clears heat, dries dampness",qingre,1,Scutellariae Radix,黃芩
黄连,Huáng Lián,"coptis - Clears heat, dries dampness",qingre,1,Coptidis Rhizoma,黃連
黄柏,Huáng Bǎi,phellodendron bark - Clears damp-heat of the lower burner,qingre,1,Phellodendri Chinensis Cortex,黃柏
金银花,Jīn Yín Huā,"honeysuckle flower - Clears heat, resolves toxin",qingre,1,Lonicerae Japonicae Flos,金銀花
连翘,Lián Qiáo,"forsythia fruit - Clears heat, resolves toxin, dissipates clumps",qingre,1,Forsythiae Fructus,連翹
生地黄,Shēng Dì Huáng,"rehmannia (unprocessed) - Clears heat, cools the blood",qingre,1,Rehmanniae Radix,生地黃
牡丹皮,Mǔ Dān Pí,"tree peony root bark - Clears heat, cools the blood",qingre,1,Moutan Cortex,
赤芍,Chì Sháo,"red peony root - Clears heat, cools the blood",qingre,1,Paeoniae Radix Rubra,
大黄,Dà Huáng,"rhubarb root - Drains downward, purges accumulation",xiexia,1,Rhei Radix et Rhizoma,大黃
独活,Dú Huó,"pubescent angelica - Dispels wind-damp, relieves painful obstruction",qufengshi,1,Angelicae Pubescentis Radix,獨活
藿香,Huò Xiāng,patchouli - Aromatically transforms dampness,huashi,1,Pogostemonis Herba,
苍术,Cāng Zhú,"black atractylodes - Dries dampness, fortifies the spleen",huashi,1,Atractylodis Rhizoma,蒼朮
厚朴,Hòu Pò,"magnolia bark - Moves qi, transforms damp, disperses fullness",huashi,1,Magnoliae Officinalis Cortex,
茯苓,Fú Líng,"poria sclerotium - Promotes urination, percolates dampness",lishui,1,Poria,
泽泻,Zé Xiè,"alisma rhizome - Promotes urination, drains dampness",lishui,1,Alismatis Rhizoma,澤瀉
薏苡仁,Yì Yǐ Rén,"coix seed - Promotes urination, fortifies the spleen",lishui,1,Coicis Semen,
附子,Fù Zǐ,prepared aconite - Rescues devastated yang,wenli,1,Aconiti Lateralis Radix Praeparata,
干姜,Gān Jiāng,"dried ginger - Warms the middle, scatters cold",wenli,1,Zingiberis Rhizoma,乾薑
肉桂,Ròu Guì,"cinnamon bark - Tonifies fire, assists yang",wenli,1,Cinnamomi Cortex,
陈皮,Chén Pí,"aged tangerine peel - Moves qi, harmonises the middle",liqi,1,Citri Reticulatae Pericarpium,陳皮
枳实,Zhǐ Shí,"immature bitter orange - Breaks qi, disperses clumped accumulation",liqi,1,Aurantii Fructus Immaturus,枳實
香附,Xiāng Fù,"cyperus rhizome - Soothes the liver, moves qi",liqi,1,Cyperi Rhizoma,
山楂,Shān Zhā,hawthorn fruit - Reduces food stagnation,xiaoshi,1,Crataegi Fructus,
三七,Sān Qī,notoginseng - Stops bleeding without retaining stasis,zhixue,1,Notoginseng Radix et Rhizoma,
川芎,Chuān Xiōng,"Sichuan lovage - Invigorates blood, moves qi",huoxue,1,Chuanxiong Rhizoma,
延胡索,Yán Hú Suǒ,"corydalis - Invigorates blood, moves qi, relieves pain",huoxue,1,Corydalis Rhizoma,
丹参,Dān Shēn,"red sage root - Invigorates blood, dispels stasis, regulates menses",huoxue,1,Salviae Miltiorrhizae Radix et Rhizoma,丹參
红花,Hóng Huā,"safflower - Invigorates blood, unblocks menses, dispels stasis, relieves pain",huoxue,1,Carthami Flos,紅花
桃仁,Táo Rén,"peach kernel - Invigorates blood, dispels stasis",huoxue,1,Persicae Semen,
半夏,Bàn Xià,"prepared pinellia - Dries dampness, transforms phlegm",huatan,1,Pinelliae Rhizoma Praeparatum,
桔梗,Jié Gěng,"platycodon root - Opens and disseminates lung qi, expels phlegm",huatan,1,Platycodonis Radix,
瓜蒌,Guā Lóu,"trichosanthes fruit - Clears heat, transforms phlegm",huatan,1,Trichosanthis Fructus,瓜蔞
川贝母,Chuān Bèi Mǔ,"Sichuan fritillary bulb - Transforms phlegm, moistens the lung, stops cough",huatan,1,Fritillariae Cirrhosae Bulbus,川貝母
苦杏仁,Xìng Rén,"bitter apricot kernel - Stops cough, calms wheezing",huatan,1,Armeniacae Semen Amarum,
酸枣仁,Suān Zǎo Rén,"sour jujube seed - Nourishes heart and liver, calms the spirit",anshen,1,Ziziphi Spinosae Semen,酸棗仁
龙骨,Lóng Gǔ,fossilised bone - Heavily settles and calms the spirit,anshen,1,Fossilia Ossis Mastodi,龍骨
牡蛎,Mǔ Lì,oyster shell - Settles and calms the spirit,pinggan,1,Ostreae Concha,牡蠣
